,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
4728,Digital,OverDrive,EBOOK,2018,1,1,"Compelling Evidence: Paul Madriani Series, Book 1",,Steve Martini,"Fiction, Thriller","Penguin Group (USA), Inc.",2013
4731,Digital,OverDrive,EBOOK,2018,1,1,Cagney,,John McCabe,"Biography & Autobiography, Nonfiction, Performing Arts","Random House, Inc.",2013
4736,Digital,OverDrive,EBOOK,2018,1,1,"The Highwayman: Saga of the First King, Book 1",,R. A. Salvatore,"Fantasy, Fiction",Macmillan Publishers,2013
4803,Digital,OverDrive,EBOOK,2018,1,1,"Christmas with Holly: Friday Harbor Series, Book 1",,Lisa Kleypas,"Fiction, Romance",Macmillan Publishers,2013
4813,Digital,OverDrive,AUDIOBOOK,2018,1,1,Fun Is Good: How to Create Joy & Passion in your Workplace & Career (unabridged) (Unabridged),,Mike Veeck,"Business, Management, Nonfiction, Self-Improvement",Gildan Media Corp,2013
4821,Digital,OverDrive,EBOOK,2018,1,4,Daughter of the God-King,,Anne Cleeland,"Fiction, Historical Fiction",Sourcebooks,2013
4879,Digital,OverDrive,EBOOK,2018,1,5,"Girl, Interrupted",,Susanna Kaysen,"Biography & Autobiography, Nonfiction, Psychology, Sociology","Random House, Inc.",2013
4880,Digital,OverDrive,EBOOK,2018,1,1,"A Grave Denied: Kate Shugak Series, Book 13",,Dana Stabenow,"Fiction, Mystery",Macmillan Publishers,2013
4969,Digital,OverDrive,EBOOK,2018,1,2,"Wild Card: Elite Ops Series, Book 1",,Lora Leigh,"Fiction, Romance, Suspense",Macmillan Publishers,2013
4995,Digital,OverDrive,EBOOK,2018,1,2,"The Thunder Keeper: Father John and Vicky Holden Series, Book 7",,Margaret Coel,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
5007,Digital,OverDrive,EBOOK,2018,1,1,"Quinn: Eve Duncan Series, Book 13",,Iris Johansen,"Fiction, Thriller",Macmillan Publishers,2013
5019,Digital,OverDrive,EBOOK,2018,1,1,Ten Rules for Living with My Sister,,Ann M. Martin,Juvenile Fiction,Macmillan Publishers,2013
5035,Digital,OverDrive,EBOOK,2018,1,4,Odd Girl Out,,Ann Bannon,"Fiction, Literature, Romance","Simon & Schuster, Inc.",2013
5047,Digital,OverDrive,EBOOK,2018,1,1,"Skylark: Sarah, Plain and Tall Series, Book 2",,Patricia MacLachlan,"Historical Fiction, Juvenile Fiction",HarperCollins Publishers Inc.,2013
5051,Digital,OverDrive,EBOOK,2018,1,5,"Rose Harbor in Bloom: Rose Harbor Series, Book 2",,Debbie Macomber,"Fiction, Romance","Random House, Inc.",2013
5094,Digital,OverDrive,EBOOK,2018,1,1,In the Spirit of Happiness,,Monks of New Skete,"Nonfiction, Religion & Spirituality","Hachette Digital, Inc.",2013
5122,Digital,OverDrive,EBOOK,2018,1,2,Selected Stories,,O. Henry,"Fiction, Short Stories","Penguin Group (USA), Inc.",2013
5126,Digital,OverDrive,EBOOK,2018,1,3,Whip Smart: A Memoir,,Melissa Febos,"Biography & Autobiography, Nonfiction",Macmillan Publishers,2013
5138,Digital,OverDrive,EBOOK,2018,1,1,"My First New York: Early Adventures in the Big City (As Remembered by Actors, Artists, Athletes, Chefs, Comedians, Filmmakers, Mayors, Models, Moguls, Porn Stars, Rockers, Writers, and Others)",,New York Magazine,"Nonfiction, Travel",HarperCollins Publishers Inc.,2013
5157,Digital,OverDrive,EBOOK,2018,1,2,"Guilt by Degrees: Rachel Knight Series, Book 2",,Marcia Clark,"Fiction, Thriller","Hachette Digital, Inc.",2013
5207,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Golden Notebook (Unabridged),,Doris Lessing,"Fiction, Literature","Naxos of America, Inc.",2013
5229,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Release Me: Stark Trilogy, Book 1 (unabridged) (Unabridged)",,J. Kenner,"Erotic Literature, Fiction, Romance",Books on Tape,2013
5247,Digital,OverDrive,AUDIOBOOK,2018,1,1,Escape (Unabridged),,James Clavell,"Fiction, Literature",Books on Tape,2013
5355,Digital,OverDrive,EBOOK,2018,1,1,"L.A. Confidential: L. A. Quartet, Book 3",,James Ellroy,"Fiction, Historical Fiction, Mystery","Hachette Digital, Inc.",2013
